folio,nro,Real,Prediccion_RF,Probabilidad_RF,Prediccion_LR,Probabilidad_LR
264-017497-A-0201,5.0,1,1,0.9825854433191861,1,0.9629537944523189
811-000029-A-0081,3.0,1,1,0.9400415907869586,1,0.7833521763725634
314-006592-A-0221,2.0,1,1,0.9965424193545263,1,0.9743392499798575
213-002149-A-0031,3.0,1,1,0.9816217885182342,1,0.896302729520497
822-001461-A-0021,4.0,1,1,0.9480065134028515,1,0.9607418412814247
821-001109-A-0051,5.0,1,1,0.7950376468511259,1,0.9368475466041437
213-001778-A-0251,4.0,1,1,0.9797255370216529,1,0.9566618003304606
943-000628-A-0071,4.0,1,0,0.45363055632987626,0,0.3214540475056535
344-013086-A-0241,3.0,1,1,0.7408819383576221,1,0.5805898598106832
263-013526-A-0331,4.0,0,0,0.3141037221837776,0,0.01038851153619173
614-001432-A-0101,4.0,1,1,0.8310294338018526,1,0.9845476407241374
612-000160-A-0291,3.0,1,1,0.7618710391664725,1,0.9865237578766709
214-006351-A-0051,3.0,1,0,0.4780475635172674,1,0.5252077618264291
543-008248-D-0071,4.0,1,1,0.7094831769610203,0,0.31628608128347285
714-009159-A-0021,4.0,1,1,0.9425066894316617,1,0.904664725754585
251-027754-D-0211,2.0,1,1,0.5690840062447868,0,0.13159413248935609
233-020399-A-0011,4.0,1,1,0.9989431635981644,1,0.9561814657181771
264-017349-A-0131,3.0,1,1,0.9700064192200246,1,0.7465631781582271
714-011169-A-0221,2.0,1,1,0.9157907334671035,1,0.5329474031953931
353-015397-D-0201,5.0,1,1,0.8234170936798695,1,0.554065903354214
263-016477-A-0281,4.0,1,1,0.9745160718171108,1,0.6747252829610445
713-005519-A-0091,3.0,1,1,0.792420850770424,0,0.26149505438440135
212-000728-A-0051,6.0,1,1,0.9896867317967468,1,0.9106371330275599
722-017252-A-0161,4.0,1,1,0.9010661097041587,1,0.7431321022136284
312-000984-A-0091,3.0,1,1,0.9963833175253823,1,0.9063535683930019
621-002192-A-0051,4.0,1,1,0.9679091956369171,1,0.84678754444591
213-002964-A-0031,6.0,1,1,0.9917966724535809,1,0.8976705736531635
441-006427-D-0041,4.0,1,1,0.9600661178345911,1,0.9005780802618618
221-018508-A-0071,8.0,1,1,0.8213935162996505,1,0.7132304710107412
423-004133-A-0081,3.0,1,1,0.7029549274500156,0,0.4095001665853992
613-000855-A-0291,3.0,1,1,0.9938244780887211,1,0.9646764296577127
713-005080-A-0921,4.0,1,1,0.9252588190911765,1,0.7308521428852578
822-002375-A-0161,3.0,1,1,0.9047742947716102,1,0.6665738593005266
713-004692-A-0071,2.0,1,1,0.9444255647759663,1,0.5356505338326871
241-022075-A-0061,3.0,1,1,0.7803165679979522,0,0.3904471869920215
713-006537-A-0271,2.0,1,1,0.6283267368425901,0,0.17617426715007778
751-023428-D-0111,4.0,1,0,0.39065096091199597,0,0.10643226185257347
314-006592-A-0291,6.0,1,1,0.9989827005561267,1,0.9429841728666386
831-002594-A-0341,5.0,1,1,0.9501007116498916,1,0.6627146680656383
542-005018-A-0101,3.0,1,1,0.7370238112824153,0,0.4460174816578586
742-023019-D-0111,3.0,1,1,0.9121354949349179,1,0.5748230764148876
751-023428-D-0261,3.0,0,1,0.6003491582688373,0,0.1412508027875162
842-003276-A-0111,2.0,1,1,0.9643143450048403,1,0.6855677506883208
152-003967-D-0101,4.0,1,0,0.4693163596087397,0,0.2814128897607388
313-002867-A-0011,5.0,1,1,0.9928853658916217,1,0.9683463977180792
711-000444-A-0091,3.0,1,0,0.39096257837082804,0,0.15867998756083632
543-003994-A-0071,3.0,1,1,0.6783318313584918,0,0.32004798092685843
221-018508-A-0101,2.0,1,1,0.9736098879990591,1,0.899771566046995
114-002160-A-0081,6.0,1,1,0.9510915596962047,1,0.8766424628193817
713-008406-A-0161,3.0,1,1,0.8693373514384295,0,0.4089062959947024
714-010972-A-0091,6.0,1,1,0.8475067817688077,1,0.8262739868177177
712-002529-A-0051,3.0,1,1,0.5905038651852327,1,0.9651876946869608
312-001205-A-0141,5.0,1,1,0.7668354589290406,0,0.46724772660108804
821-002777-A-0101,2.0,1,1,0.972386554334522,1,0.7323957162840902
263-013526-A-0201,3.0,1,1,0.9574260708335578,1,0.746473979867036
612-000160-A-0121,2.0,1,1,0.7628932238155105,0,0.4556677201929778
852-004057-D-0081,3.0,1,0,0.35622223898987526,0,0.0696714886937521
541-006807-D-0081,4.0,1,1,0.9656850956186075,1,0.810975383123909
261-007468-A-0101,6.0,1,1,0.9664443659383987,1,0.9304444688315419
823-001673-A-0111,2.0,1,1,0.8967783114882053,1,0.8251635627440855
951-000942-D-0041,4.0,1,1,0.7015644455898926,1,0.8038513046352662
213-002964-A-0111,4.0,1,1,0.9552743113350757,1,0.8697554740457962
214-004248-A-0171,3.0,1,1,0.9903312836157109,1,0.874124821783741
333-006869-A-0021,3.0,0,0,0.14737725204499239,1,0.5151516871089612
251-028611-D-0291,4.0,1,1,0.9111224890205547,1,0.5979165094508159
212-000589-A-0071,3.0,1,1,0.9607864100668079,1,0.780067667736173
613-000521-A-0011,4.0,1,1,0.9402650053913728,1,0.9030604237674201
